company,description,location,rating,salary,title
Focus21,"A Senior Full Stack Developer .,NET Developer who can build and design scalable and performant web applications The code produced should have high fidelity to…,Opportunity to build fully fledged web-based applications and gain experience in full-stack development.,Manage data collection, integrate inputs from various…","Ottawa, ON",,"$65,000 - $80,000 a year",Exact location only
Focus21,"A Senior Full Stack Developer .,NET Developer who can build and design scalable and performant web applications The code produced should have high fidelity to…,Opportunity to build fully fledged web-based applications and gain experience in full-stack development.,Manage data collection, integrate inputs from various…","Ottawa, ON",,"$65,000 - $80,000 a year",Exact location only
Focus21,"A Senior Full Stack Developer .,NET Developer who can build and design scalable and performant web applications The code produced should have high fidelity to…","Ottawa, ON",,"$65,000 - $80,000 a year",Exact location only
Focus21,"A Senior Full Stack Developer .,NET Developer who can build and design scalable and performant web applications The code produced should have high fidelity to…,Opportunity to build fully fledged web-based applications and gain experience in full-stack development.,Manage data collection, integrate inputs from various…","Ottawa, ON",,"$65,000 - $80,000 a year",Exact location only
Focus21,"A Senior Full Stack Developer .,NET Developer who can build and design scalable and performant web applications The code produced should have high fidelity to…,Opportunity to build fully fledged web-based applications and gain experience in full-stack development.,Manage data collection, integrate inputs from various…","Ottawa, ON",,"$65,000 - $80,000 a year",Exact location only
Focus21,"A Senior Full Stack Developer .,NET Developer who can build and design scalable and performant web applications The code produced should have high fidelity to…","Ottawa, ON",,"$65,000 - $80,000 a year",Exact location only
Focus21,"A Senior Full Stack Developer .,NET Developer who can build and design scalable and performant web applications The code produced should have high fidelity to…","Ottawa, ON",,"$65,000 - $80,000 a year",Exact location only
Fusion Analytics,"Opportunity to build fully fledged web-based applications and gain experience in full-stack development.,Manage data collection, integrate inputs from various…","Ottawa, ON",,"$75,000 a year",Exact location only
Focus21,"A Senior Full Stack Developer .,NET Developer who can build and design scalable and performant web applications The code produced should have high fidelity to…,Opportunity to build fully fledged web-based applications and gain experience in full-stack development.,Manage data collection, integrate inputs from various…","Ottawa, ON",,"$65,000 - $80,000 a year",Exact location only
Focus21,"A Senior Full Stack Developer .,NET Developer who can build and design scalable and performant web applications The code produced should have high fidelity to…,Opportunity to build fully fledged web-based applications and gain experience in full-stack development.,Manage data collection, integrate inputs from various…","Ottawa, ON",,"$65,000 - $80,000 a year",Exact location only
Focus21,"A Senior Full Stack Developer .,NET Developer who can build and design scalable and performant web applications The code produced should have high fidelity to…","Ottawa, ON",,"$65,000 - $80,000 a year",Exact location only
